Id,state,phone_number,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
11,FL,408-236-9393,71,no,yes,45,170.12796388573193,54,45.02151450386182,337.55784576692486,96,41.46918615070041,169.46891803927232,144,9.61068647799978,7.779662032008783,17,3.8037893703847327,5,False
12,TX,535-412-5212,178,yes,no,13,300.0779110214479,35,21.415571093691653,230.76689770107083,25,29.008137952846816,207.86895605871956,55,30.453070367721537,17.795156299463077,12,0.03606436106461497,0,False
13,IL,765-902-9766,66,no,no,44,113.97068047657662,130,23.87002953704961,113.05613864738643,72,48.29068431954849,159.64998626757276,18,45.017494317410986,6.039638261714675,0,6.152274989656707,4,False
14,CA,343-636-2625,197,no,yes,43,164.94803760829325,55,35.876434449775275,123.56512763127694,85,12.426756759251909,97.38534096158187,42,7.221757226458919,8.641020550080949,9,4.254151604404962,3,True
15,FL,174-905-9577,63,yes,yes,23,42.77521042040039,131,41.40033136183285,255.69812561149672,94,36.27833569290333,219.75631641040314,93,24.699874137638652,10.558183956631364,6,1.2702076978628785,4,True
16,CA,309-574-9609,79,no,no,40,173.7051245231603,40,13.34445167975406,265.3397100454996,118,19.75731833861446,271.893732680044,141,38.01694987560045,5.460776657724951,4,2.963676068408221,8,False
17,FL,446-628-7783,110,yes,no,0,214.83618580388278,68,33.74480671409578,127.11879417248485,26,15.390377332169306,236.34835072646285,74,31.35158405035248,18.169897349065888,12,5.696606989719245,2,False
18,IL,975-862-2205,66,yes,no,42,212.69025720068635,38,20.81590610667913,140.51007293642567,67,10.658598846450218,105.02363161857264,115,6.8281115166379465,9.290671693161944,15,6.56713368009977,3,False
19,NY,763-124-2990,147,yes,yes,21,136.37654149579686,115,19.697740352190145,347.13808279650783,88,28.520166860554106,264.1145421979277,43,21.037094016846673,8.483112182380339,19,4.623358796634468,7,False
20,FL,279-809-4572,177,yes,no,22,130.97061781220336,26,35.121239549151426,62.62481586568878,70,12.34253277196214,112.20729793426024,94,26.34749591440947,16.995060978686652,13,8.039591160909458,2,False
21,CA,955-260-7320,144,yes,no,18,64.11955805971132,33,20.58479715948485,159.4864091008318,122,11.616840869523484,86.0647561356928,97,49.8005888823811,6.239568032957969,10,1.1244041170298569,2,False
22,IL,384-162-5757,112,yes,no,17,147.37546260680588,118,18.613208007891565,49.983209983202386,130,49.54553144402326,251.01376494039107,64,10.573179647535333,16.349306890219218,18,0.8454572261240778,8,False
23,FL,765-255-6588,175,no,yes,11,61.83829403934869,100,42.12264359005964,292.7450758394371,43,40.48387600859652,299.6919187564573,146,49.1563408236854,2.4454570544269894,1,0.44244269017808313,4,True
24,NY,148-948-4432,94,no,yes,27,275.3107023078565,34,6.861253943888306,59.55066846253832,79,37.91728737221002,184.09262326290383,26,20.055189643013307,3.655770667297993,7,5.358278394494422,9,False
25,NY,788-247-4701,70,no,yes,27,339.2077752794195,41,34.44284589585011,245.68235406806758,26,40.11491004237224,200.04537380430008,140,11.615383331543425,19.016833323434696,12,7.06231704234458,0,False
26,TX,441-575-6182,221,no,yes,32,340.4238261333462,125,13.938818901949983,48.07469568111426,29,48.50829793849964,126.8792225507944,13,21.87723594195181,16.84894981615416,6,1.3052139942252972,6,False
27,TX,800-459-7704,12,yes,no,18,306.822751800126,91,2.7439156076571347,245.31361209910116,68,29.517281060153767,188.27776483521032,16,31.471765953671223,7.757978029128125,11,6.389456218553925,6,False
28,CA,426-868-2759,137,no,yes,27,222.25348778867811,119,10.004684905889217,299.771823016865,78,12.571706115337307,72.2345593639703,35,12.247874907727802,12.769128974340589,7,4.769477661895348,5,False
29,FL,240-314-3482,188,no,no,48,254.27702311804157,46,31.11975342924165,157.62288861569834,111,43.386062756155475,335.8658654985568,33,15.989075998502132,18.859403788619115,15,9.873445001511152,5,True
30,FL,990-822-3079,95,no,no,36,121.2658568577325,35,36.038105191324995,197.0804778982966,129,37.65107501379633,286.1154091701108,19,43.01823208329391,4.237178057281685,17,7.174736092664115,2,True
31,TX,769-384-5524,56,yes,no,25,231.8465344552386,146,3.010773610703362,158.4933561616904,66,21.88679899204031,243.7513794630991,22,49.95245416010566,1.180209404460013,18,6.574733351916259,2,False
32,FL,576-385-8311,205,no,no,34,175.80785582076078,73,3.7484212784825672,126.15640276244446,92,24.731335931583025,202.22219893900896,134,17.272289191924468,10.749361290106105,3,5.704497348723445,9,False
33,FL,523-118-3065,229,yes,yes,33,184.24554872861842,81,45.322021512461745,287.044288200681,138,21.740115126985714,283.49412359294865,48,9.145126589597133,2.8519375732718655,11,9.973661815497039,8,False
34,NY,868-689-6490,85,no,yes,34,272.48849932005055,115,5.518679269458552,117.0408235939167,22,46.6372236909922,188.3223166674574,28,40.072199359714,3.746381854227503,15,9.804591708545773,0,False
35,TX,274-293-7645,47,yes,yes,39,120.21387379112053,95,44.92074361359542,261.34189580462305,15,18.489517351918117,125.9916506094504,85,30.82187298920697,17.83078379463159,16,5.381151254945216,6,True
36,IL,212-213-6797,173,yes,yes,15,131.77267574224635,62,12.951963860043477,95.98306536166473,106,48.24724537549628,81.31975525333505,61,6.819254882028854,0.14806917289782673,3,4.551833473342617,9,False
37,TX,930-743-7016,248,no,yes,37,325.8853731611637,101,37.520854407594214,109.95321474506547,103,45.693045020189594,237.22738841657832,129,47.44503110892901,16.33640052927737,19,4.621149227017524,6,True
38,IL,363-154-9038,178,yes,no,12,47.99177435231112,108,16.86719594940858,137.6675720247079,119,32.265014827912324,327.4162384084845,55,5.746377363194815,10.339015526712153,8,4.283423903233656,7,False
39,NY,742-899-5873,206,yes,yes,22,185.40297549226892,20,43.22009722924082,218.53004076601223,147,29.831445108803585,79.15793712139237,84,32.01710727841478,11.185887752906007,4,5.313983069963221,5,False
40,CA,557-977-7305,150,no,yes,21,322.09625613051577,40,35.62183354036918,175.41514213105316,60,19.764285443358602,87.60577441625816,133,22.34898828289191,13.435359209127249,16,2.7358426781437073,7,False
41,FL,479-186-1054,96,no,yes,15,225.31616250181025,109,21.28704601288137,268.44633914490254,60,2.8802426725111943,168.7539306910512,57,28.717948075516922,8.628899846160207,16,9.267887831144266,0,False
42,NY,575-899-4462,67,no,yes,27,204.85026374788225,96,5.662517800355818,98.34153610758153,96,8.125912939412157,288.20779133430045,71,12.234281391686933,2.312237763848295,1,4.902300814619353,0,False
43,FL,448-107-1832,59,yes,no,47,109.91813735339366,149,37.16960882579874,33.41513211162692,77,38.203103520778335,124.05527327088149,67,35.02929916403128,2.056404476096476,1,8.420078118386092,8,False
44,CA,412-858-6954,39,yes,no,34,139.84815650062345,24,31.610468286328715,278.4983909712704,93,24.63392607623193,111.25213589440901,27,48.06654507840031,15.087243983678851,6,4.7530367466762,3,False
45,CA,542-866-9519,199,yes,no,44,302.65549305750176,110,2.1397624560218595,292.9277868416232,51,9.192230441022469,228.38921326810686,117,24.00444195415595,4.420702865345698,3,7.182902739102429,2,False
46,NY,153-860-4310,110,no,no,45,208.9498021659066,38,2.4521530866773755,49.033652194684656,66,14.670120998329807,201.3967301997862,57,27.101997323274908,0.562033672352884,12,3.3688196447658,5,False
47,CA,328-678-8218,34,yes,no,7,194.71750200216957,123,40.82206271324931,225.4904070906869,71,47.496171192655986,49.270516622475604,72,13.510960187306303,19.592277781978822,19,6.248068577332605,9,False
48,IL,708-703-4054,121,yes,yes,43,61.865508332809256,116,14.451187462488985,151.02617083938495,16,19.622376094892722,56.07679273896849,21,44.809663220051895,19.607830387213866,10,4.983714454509194,8,False
49,CA,363-517-8970,164,yes,no,21,35.1290100656394,117,32.53441605094715,284.0466096622454,121,45.56873337051937,235.76415365912516,43,48.61637144671799,7.562826746875597,2,3.6711425653360985,9,False
50,FL,195-187-3538,188,yes,no,20,338.37926037985574,139,23.80229214873188,309.81265734287314,35,16.622519950091682,178.83955172728946,111,39.74225048413061,0.5104768911422641,1,8.81556261068001,3,False
51,FL,551-599-9356,215,yes,no,25,150.63557353178933,93,43.44464069704483,302.3212053751197,28,28.07456452962372,340.712701308527,96,28.053128103670595,14.545293171854993,15,1.1271168274890897,8,False
52,FL,281-568-6005,194,yes,yes,39,223.0281798718414,24,46.01413342891945,278.70535915227265,18,2.9829000013854987,247.1300514336207,34,47.92624757641427,16.620241209713384,2,4.869231483191103,4,False
53,FL,834-922-1943,135,yes,yes,20,55.5088234199312,141,49.84677020858499,116.09671319749214,70,27.05000529793169,33.223571837834065,141,9.384802657629287,2.5002738023161952,14,1.9436907326613673,6,False
54,IL,106-429-9966,249,no,no,24,248.5965714313749,59,9.376838518747848,289.80468594186135,29,32.57321650931026,183.92600953614777,58,24.967561274970485,2.7091722981847255,16,8.610550912175915,2,False
55,TX,772-250-5242,132,no,yes,40,328.4213467859075,32,43.42227423082282,200.71311229001367,115,13.24664476818454,162.62333921135343,87,27.805073922867827,16.44447999393581,15,2.5346934471566342,2,False
56,NY,723-480-2308,56,no,yes,0,214.2128809591743,68,14.769026082982485,46.88211674626906,59,29.788984457857136,64.14843519800598,145,25.611988148114087,18.438147774304696,19,6.334303401118216,2,False
57,FL,799-181-9705,127,yes,no,5,70.35690316013138,99,30.35916199498437,176.22043196743965,90,33.06405305844731,325.42682747910084,64,40.51607778457775,15.815096733482992,6,1.6556351508535405,7,False
58,CA,996-914-7852,237,yes,yes,22,216.15088879151256,124,26.277096025722123,331.4905334495979,149,34.97053176232431,287.6036157061516,27,34.17933876878548,4.014898983390591,15,4.049136694708366,5,True
59,FL,622-845-2409,48,no,yes,22,275.23110819348875,84,2.8634303154746075,314.1149919153769,19,39.26735945706095,103.62749069440059,44,8.079606364076561,8.230424388684419,4,8.993571956493643,8,True
60,CA,806-570-5491,25,yes,yes,42,160.05329170368597,132,46.77302143549255,62.72456991907713,74,16.944283660611994,111.9138428297591,16,18.6296627524669,12.016848517318282,1,1.6606444440194046,8,False
61,CA,631-360-1804,31,no,no,42,311.5480793412697,145,5.759698647162486,268.1205394285985,17,29.253293908730154,40.245777062224306,22,18.275688722570543,3.205869476416574,0,6.631958253483397,7,False
62,FL,355-833-8083,222,yes,no,22,237.57854507435664,148,35.03450813157132,287.85371710663514,31,49.115793428700535,124.9495845052931,135,29.150345254060575,4.212049852650166,12,2.045103705559548,0,False
63,IL,966-599-2387,63,yes,no,31,317.75965385254483,27,39.68032813799658,116.84422023576474,27,45.11092019192755,217.07904285227315,121,15.990004047579053,5.6577214413711,15,4.157490525321659,5,False
64,CA,379-692-3679,158,no,yes,29,229.5216995991479,59,40.17381675428884,180.91474263714954,18,47.72794054872159,164.66988428373384,78,7.629044938587709,10.19026540581673,4,5.406168843745993,3,False
65,CA,158-826-5223,209,no,no,12,72.01215104154375,127,8.50373690858455,257.51614126837853,63,20.534547129371425,340.1617483902979,109,33.3767679515425,10.216097743550952,2,5.773064181897478,3,False
66,FL,835-820-4186,25,no,yes,42,129.1013475536605,146,23.483357624382663,170.49327642276734,35,39.77254908303976,47.94565416437468,99,42.849773049681076,16.285890386951053,14,6.025113375531554,2,False
67,CA,308-625-3599,68,no,yes,17,94.57438344078622,148,41.81258578083103,66.09501403730462,103,31.755101684496694,219.2576508476834,51,46.71718858236435,15.06020401375251,15,6.401314153909222,8,False
68,CA,336-380-8368,40,no,yes,22,320.82447926939597,117,16.528602098180222,255.8823822981509,109,5.971283986987572,304.6590209622554,118,48.68376404765484,18.27471350219884,10,2.7176869767379754,1,False
69,FL,857-377-3541,179,yes,no,14,273.32802153199447,76,24.451936417983852,321.7243807152971,35,41.55105867953914,183.83709197111125,119,39.493608618032674,16.65803445649193,18,4.013674857171591,0,False
70,FL,103-765-9633,211,yes,no,32,246.44747805120193,87,15.094106849592597,238.7951130899704,43,34.5008612651535,30.94807057932698,35,8.705716558011304,5.077550966113094,17,0.37318663575064415,9,False
71,NY,128-208-9996,41,yes,no,20,126.30922228211894,84,24.25046805849556,277.61623954209085,17,11.548033256732806,107.69647994440805,85,42.94936756336278,6.625935386079997,8,7.687569765313751,2,True
72,IL,174-937-6475,196,no,no,38,88.89432705606833,48,44.616220284458244,144.6760114105051,147,5.8274507566141445,133.60607221374917,41,21.19808352235875,10.008464872650675,7,8.370995017889024,3,True
73,IL,140-133-8184,171,no,yes,22,272.0643481564518,34,23.845963089572933,88.62343844052316,57,42.17706227111987,339.118238258388,100,37.035743062033454,0.2854226912728919,18,1.9923676348554553,3,False
74,CA,776-252-8141,18,no,no,26,181.7305426813055,30,28.683776819567377,235.68757171785361,116,5.787287815577651,321.7674501883838,134,27.50086423812012,18.078040125674427,4,2.014439646296818,5,False
75,IL,477-687-2622,218,no,yes,44,102.25265668820131,147,21.39086159854801,134.88678586919005,63,6.384985537588959,333.7345616344417,135,41.773094415141614,0.8868842512467845,16,0.4203640219042071,0,False
76,CA,728-973-1341,148,no,no,43,227.31903301288804,24,24.085624793759624,305.2235260767337,128,22.515597819407134,294.2427064374299,61,22.424275176305052,6.448825416332726,4,9.703838227924875,0,False
77,NY,126-924-1645,233,no,no,17,42.90683268430463,57,2.7283615542282416,69.2409759929621,90,8.4702957641349,142.52727491644941,112,4.966102915520997,11.383495823928133,13,8.07186568117229,1,False
78,FL,830-267-9801,19,yes,no,23,134.37448132104112,95,15.619784478101888,168.70838391459958,105,45.85614067725053,319.8804550707842,114,28.727538122358602,10.356827772137315,6,3.6070320290603206,3,False
79,FL,367-848-7136,223,yes,yes,46,179.9382382691631,125,22.955922643607572,156.95283214988348,111,24.573628940635363,344.1390418998556,23,10.221946624048313,13.089197856517494,8,4.8190827146982524,6,True
80,FL,920-554-3969,26,yes,yes,39,77.34666691500988,59,32.42225484765099,330.1772331372575,71,29.319247071419433,142.02281992798493,113,48.34484635294029,10.55040350588418,16,2.919669606508686,5,False
81,IL,575-801-3681,77,yes,yes,41,345.08943282906864,78,23.602492666586823,79.00313619340923,55,46.549092294948196,113.37790911566366,126,27.294227159623595,4.580028514060688,2,5.972439683220844,8,False
82,NY,657-675-5225,57,yes,yes,6,96.91115666867657,13,18.215218079435076,33.150984003843504,96,27.452634830640733,205.0132136903108,57,28.5708221041885,4.0215637558774375,7,7.173084123335083,6,False
83,IL,921-462-3866,189,no,yes,49,71.71300161384497,87,20.628739296519544,106.18726809827763,108,18.972375005951292,89.8887016316576,102,45.54875421511125,18.144941381509973,12,4.47368477991872,4,True
84,IL,792-391-6490,120,no,no,47,95.13115964380685,18,13.630079801622394,292.4885951259694,48,40.26344507915993,40.43975085004167,119,31.980091767256393,5.279334734711851,15,8.735941932916235,5,False
85,NY,893-128-9340,162,no,yes,19,276.09956261111176,130,46.37572557315454,96.98298113504546,62,23.256809478810112,332.6659747570783,62,16.531010105105942,5.6195446775902695,9,5.1702586221881,9,False
86,NY,878-395-8679,132,no,yes,26,166.1618109669897,124,27.0436748379639,107.08098038575446,89,17.28653242891066,326.2370023812542,12,16.212541611841814,8.259057922006892,17,1.4425326907781078,8,False
87,NY,775-212-9378,158,no,yes,5,210.93310072081215,110,2.6436537858619094,71.56761745177945,25,36.715014013065655,82.04923320387874,77,26.075775195509898,2.788766542999479,2,6.222913758376416,0,False
88,NY,906-843-2333,110,no,yes,26,36.72293023563544,106,2.9334204041382375,258.939585048493,113,40.47707247742606,160.4768790175102,142,43.597194988599625,10.145456888464807,11,4.6223096590780255,8,False
89,FL,197-154-7766,111,yes,no,8,41.01801874346066,90,48.70215847769799,52.1357409617335,79,40.00237604404503,295.9316202472594,147,40.14700835534137,13.300635234042629,15,9.356718630817259,5,False
90,TX,763-857-7212,74,no,yes,44,172.66417594464517,52,12.629642785915761,135.9866567451269,117,48.92837187817796,241.52009562267295,61,48.211548130728545,15.720009841547338,17,3.9189392093591344,3,False
91,TX,411-388-8715,200,no,no,30,291.32967782451954,104,40.669197863087106,120.39959251870866,56,39.760013545998206,156.33200293462846,105,5.450533896905775,14.229084837284582,16,4.02865739150104,4,False
92,NY,850-247-2762,226,no,no,20,313.27644118642087,15,4.797214474907575,207.65111353284954,18,38.95680492553694,268.13471909850205,40,14.879651310288255,2.952719281605274,6,6.507733897816102,0,False
93,TX,343-590-8101,60,no,no,25,57.74610163060487,76,46.21581136133835,263.73320480631537,43,43.15929217933857,317.0551642272611,75,5.849969975058848,9.12134289941848,18,5.26986218326428,6,False
94,TX,606-464-7122,45,yes,yes,39,202.27619267232728,149,43.972016176000565,200.52045910295917,95,2.008889374181255,326.3706657682778,100,38.05180130731694,0.7717240161635686,7,3.7444987753843484,7,False
95,NY,581-300-1153,90,yes,no,47,322.23349960936656,109,29.412471796856707,327.92831775202166,124,19.396707737012992,151.2318758151005,78,8.760017079218414,0.35595993441898566,16,9.897744156800895,4,False
96,TX,549-600-3120,242,no,yes,44,154.15128140732364,21,2.431935549596277,334.4616444439462,73,37.40494860965226,85.53941762330204,96,6.794543263885123,8.802608365476011,6,3.0218550999941685,1,False
97,IL,812-395-6136,136,yes,yes,12,295.46106605707797,75,14.374921953120204,145.66890511952494,43,30.786512533293312,322.108434622072,42,28.96026594077876,5.05920988915258,0,2.7752879198502853,7,True
98,CA,740-316-1060,97,yes,yes,48,72.78260940781959,11,21.527487075126317,278.85772040796564,21,10.523456126317647,59.617742675529044,77,21.751266181719608,13.667215897467255,7,8.644276285221034,9,False
99,CA,715-141-8970,203,no,yes,22,329.3262366936956,90,24.083077603882963,266.41644264582067,106,16.57918827625018,260.94028519301236,97,36.32486426059842,14.484815736268251,18,0.03372943550555507,6,True
100,NY,230-597-2252,113,no,yes,19,270.45546161001687,144,16.28858041099386,315.7486693455447,130,18.166045331941127,74.95914075545653,104,25.3767388016131,17.908074491165113,19,2.012531609049076,9,True
101,FL,207-271-4549,24,no,no,36,331.22700569180853,79,3.581497675785439,173.34196486646505,96,29.25574933627117,154.6037934936615,117,22.41606060514173,15.213650270780775,19,5.9044668826197615,8,True
102,NY,201-965-7667,105,no,no,27,246.51751473680207,124,30.326115484474023,199.7514199032935,111,41.916718229171664,161.69783889440876,62,22.424021539854603,0.9648824627308339,9,1.6245052784466485,3,True
103,FL,374-712-5090,176,no,yes,16,146.28925823981663,97,27.159424049348285,163.04778034610368,105,46.75960542932863,80.80253283586669,83,43.850066259145024,7.432460207155353,11,9.858039227235881,8,False
104,CA,916-116-1329,132,yes,no,27,330.2179752079112,15,15.58403050059573,302.1206141759058,123,38.00443581697468,325.25805888211585,58,20.970831234678386,5.460467035042442,0,4.64195622421631,3,False
105,NY,668-922-8982,207,no,yes,40,118.18136841893711,36,3.8228464433411133,103.50474091588299,56,42.46161872848687,30.853813762971605,122,18.003062132942407,7.722648996543224,3,5.973640749605509,2,False
106,IL,111-417-9407,10,no,no,1,136.2952070597544,91,49.740520986653124,106.7069050375823,67,24.564606005672772,316.0187338293218,123,18.249683697091008,3.2015131793740315,3,1.6037346510519312,2,False
107,TX,438-875-3708,248,no,no,24,254.2586937605569,97,25.135336967667484,149.23363314466553,142,20.709215341869793,312.8253835121553,104,11.436838247114734,1.9540820738118692,8,2.8937810087192783,9,False
108,FL,180-826-6604,160,yes,no,49,274.90121584812357,129,38.2882036051557,103.70970627275238,130,20.850009542922415,131.42836918336053,34,43.31306482755149,10.419690850168013,14,6.146247826794156,1,False
109,TX,473-809-6319,131,no,no,40,327.4091148317292,33,23.711073682464104,209.52218765277465,127,31.56984936031794,255.37096636136818,141,9.038279121323916,14.407626217327888,14,5.495533732863977,9,False
110,TX,636-565-6387,176,no,no,5,95.53677089798704,111,4.072173961421189,73.03683407856073,14,7.963361866678833,110.89885161546096,148,45.613315414381056,14.038218038638856,6,7.843639454411661,2,False
111,NY,754-670-4993,135,no,yes,10,285.35937127015166,43,16.860835764104003,132.45959020929772,105,29.81572077393254,272.8075399212603,117,15.606450651728299,9.018886443524543,11,2.6923317857431615,7,False
112,TX,588-976-9238,66,yes,yes,37,266.3347370870283,56,17.365286768283255,322.3023035121888,30,33.92637728881883,209.55831737207788,78,45.17248746434465,10.445579725778922,2,6.53542146706534,7,False
113,IL,387-877-5806,90,no,no,5,50.41425800115132,33,42.240939394352765,160.9521536613747,137,23.067619529899464,126.07214535925067,93,39.959391527099704,10.326574450172828,19,2.9097550574886544,1,False
114,TX,500-893-8124,171,no,yes,44,153.9114051872662,74,33.40303894399397,269.43478927792296,133,47.75202448501604,158.07512116404948,94,29.935401005617216,13.831407555361125,8,5.867526197461204,1,False
115,NY,185-349-1390,178,no,no,10,120.48494625923155,27,15.220635374694696,66.30790134610368,30,31.19423707421961,250.76439431628913,128,34.134560188092756,0.9585035191204816,13,6.050309676852086,1,False
116,IL,881-434-9820,230,yes,yes,13,127.43693579328973,53,48.45151782363613,109.2206426053711,63,12.55997466735801,319.95118388601054,81,17.640516359596532,14.197922177424477,12,1.2183911135448877,9,False
117,CA,618-236-9007,82,no,no,1,344.54300145750426,85,17.434007955097826,288.35059878411795,147,25.00238035680878,71.83248530152788,29,29.562973487727795,11.64401801514575,11,5.486331106862661,6,True
118,TX,597-926-2500,150,no,no,39,235.68877231357692,66,49.91523323977857,274.15773961270213,113,34.41941298249411,212.8364702941303,36,16.03533923488146,3.962174293431484,0,0.11938299954182496,5,True
119,NY,693-322-6085,79,no,no,2,259.6563704939199,116,49.815857272172636,153.56989395002276,120,17.53419797986299,111.19334382627758,17,21.30909506674216,0.9811770749252902,18,5.0121075137469155,0,False
120,CA,471-501-2466,15,yes,yes,34,342.51764394080294,133,11.178104851843607,335.40700865071176,125,5.822797101873112,286.43911996014697,94,38.70380265100375,2.1705558111577683,15,6.97521888608075,1,False
121,CA,589-714-6392,93,no,yes,32,150.70457038644437,148,17.011573577043208,321.4057650670545,66,30.00491046612248,52.47593787823394,70,13.708763062890378,10.493826828385393,11,0.7283272898998872,0,False
122,FL,625-258-4223,61,no,no,23,286.5888539048979,125,25.3301215272634,337.93623971591677,137,47.49776809374464,250.46585285477434,12,42.26460876020181,15.168170601825658,9,9.387108164170272,6,False
123,IL,719-287-8980,12,no,no,18,169.04990825743852,102,33.876832215098766,166.93270086009133,129,25.28345530703234,85.98272438112954,16,20.042376975919833,6.693145742490023,1,4.587555319894543,5,False
124,TX,197-230-3983,90,yes,yes,17,308.2507749807935,51,27.346277552182364,93.19154677941856,79,45.49323587105782,220.84333388903335,13,27.544158121096686,7.582478214104434,17,9.38416275624062,1,False
125,NY,282-463-9230,72,yes,yes,48,87.81041321961702,37,48.53319051834833,230.53076450922913,104,42.08113224184131,297.42162790166145,142,47.214103403017916,18.68292830092225,12,1.073984236911325,1,False
126,FL,626-987-7640,58,no,yes,23,333.25957666056945,132,36.751479883313195,249.12741064934352,108,9.075813614431201,271.6258118789375,148,34.70027024896999,4.260261680651521,5,9.499025944195347,1,True
127,IL,615-448-1920,85,yes,yes,44,100.00694669148149,33,12.178152770382772,70.1413710241664,51,35.9921562481074,270.94172405876395,134,32.98899741654211,2.0749884915070327,11,1.0919709942534672,7,True
128,FL,496-821-9684,121,yes,yes,34,134.3905622338981,145,7.044682410254639,281.6745709746899,79,22.902345203454963,195.71049989980966,24,36.1571709250414,6.868202276000359,3,4.61495798451336,6,False
129,IL,525-207-9502,184,yes,no,0,271.9815149141698,115,35.04326195404912,35.77927032318737,11,14.01182361262097,315.0385893919108,22,46.069344260506945,14.918442389845474,0,9.379920667268657,0,False
130,IL,838-269-1545,118,no,yes,35,156.00164530093014,127,9.605717128676623,184.47308399257068,118,34.97304107200175,218.19366343743934,127,13.92865804263252,12.521545821122636,10,2.327082003888715,3,True
131,TX,513-350-4810,192,no,no,24,224.62764056526294,62,39.8084883361162,135.92520303836636,74,37.647714495508225,323.6057499358626,16,31.435577878368242,8.315908787391384,7,0.3478498085873405,3,False
132,IL,990-138-3032,201,yes,no,44,172.26352034221713,141,16.929760028496176,266.8969791677069,79,10.635023299272262,204.88718650637364,113,21.21890501041531,19.29505065663661,1,7.931106750282209,6,False
133,FL,576-417-9436,74,yes,yes,48,267.5583798687302,109,17.690876626669112,130.0834327749811,78,45.893344738698005,191.90898016640094,15,2.5690540740917083,14.699928765891466,1,5.9588363766900985,1,False
134,IL,847-796-1271,90,yes,yes,42,103.06600075795546,14,2.5183228346965745,294.5782760899305,130,38.05506770966917,101.15296614730063,73,8.014443027493241,1.2372284876658757,15,5.139211929014406,3,False
135,TX,539-847-5361,204,no,no,33,48.70655591580064,58,35.648540820561955,220.3851164098594,118,46.8020239588145,204.3317292896656,39,17.599610972652243,14.892628877080966,0,0.34343384353218376,0,False
136,TX,458-439-4760,227,no,yes,24,125.97740719138119,107,7.436948147104918,284.045875763863,69,17.21951450065717,74.98714599964703,31,29.119998616731955,0.480771118117167,3,6.532312688068451,3,False
137,FL,102-528-2165,24,yes,no,15,181.77877275789768,39,39.09826771824887,346.5890041086796,102,47.08808075566337,308.30086440305456,127,44.31078928142104,13.00646646234811,5,1.716233518845648,0,False
138,CA,475-769-3033,109,yes,yes,33,83.76641670165714,81,25.609655452025926,247.33067063793817,21,19.68884757624228,246.2854043866539,93,39.973477673669095,4.209656725853175,19,9.311966802046953,1,False
139,CA,423-245-5388,41,yes,yes,28,143.53513269004438,112,39.645431117819314,345.18410123572613,112,4.590548548514803,347.9633435177414,142,28.56001627629298,13.928844180751154,13,6.8572695107568205,1,False
140,IL,764-531-9896,105,yes,yes,18,157.99456585394194,72,30.028473881491582,39.22762461494571,121,38.62253065803312,59.47117689296739,99,5.545780059558446,6.195591332955923,19,7.070338880338365,9,False
